time,power
2021-12-27 21:16:30,163.09
2021-12-27 21:16:40,163.02
2021-12-27 21:16:50,162.48
2021-12-27 21:17:00,162.05
2021-12-27 21:17:10,161.8
2021-12-27 21:17:20,161.58
2021-12-27 21:17:30,161.45
2021-12-27 21:17:40,161.32
2021-12-27 21:17:50,161.18
2021-12-27 21:18:00,161.08
2021-12-27 21:18:10,161.01
2021-12-27 21:18:20,160.97
2021-12-27 21:18:30,160.88
2021-12-27 21:18:40,160.82
2021-12-27 21:18:50,160.77
2021-12-27 21:19:00,160.7
2021-12-27 21:19:10,160.66
2021-12-27 21:19:20,160.62
2021-12-27 21:19:30,160.59
2021-12-27 21:19:40,160.55
2021-12-27 21:19:50,160.52
2021-12-27 21:20:00,160.49
2021-12-27 21:20:10,160.44
2021-12-27 21:20:20,160.41
2021-12-27 21:20:30,160.37
2021-12-27 21:20:40,160.38
2021-12-27 21:20:50,160.34
2021-12-27 21:21:00,160.32
2021-12-27 21:21:10,160.3
2021-12-27 21:21:20,160.27
2021-12-27 21:21:30,160.25
2021-12-27 21:21:40,160.24
2021-12-27 21:21:50,160.23
2021-12-27 21:22:00,160.2
2021-12-27 21:22:10,160.18
2021-12-27 21:22:20,160.17
2021-12-27 21:22:30,160.15
2021-12-27 21:22:40,160.15
2021-12-27 21:22:50,160.13
2021-12-27 21:23:00,160.13
2021-12-27 21:23:10,160.12
2021-12-27 21:23:20,160.13
2021-12-27 21:23:30,160.1
2021-12-27 21:23:40,160.1
2021-12-27 21:23:50,160.1
2021-12-27 21:24:00,160.11
2021-12-27 21:24:10,160.11
2021-12-27 21:24:20,160.13
2021-12-27 21:24:30,160.11
2021-12-27 21:24:40,160.09
2021-12-27 21:24:50,160.09
2021-12-27 21:25:00,160.1
2021-12-27 21:25:10,160.08
2021-12-27 21:25:20,160.12
2021-12-27 21:25:30,160.13
2021-12-27 21:25:40,160.14
2021-12-27 21:25:50,160.15
2021-12-27 21:26:00,160.16
2021-12-27 21:26:10,160.16
2021-12-27 21:26:20,160.18
2021-12-27 21:26:30,160.17
2021-12-27 21:26:40,160.19
2021-12-27 21:26:50,160.19
2021-12-27 21:27:00,160.21
2021-12-27 21:27:10,160.2
2021-12-27 21:27:20,160.21
2021-12-27 21:27:30,160.21
2021-12-27 21:27:40,160.22
2021-12-27 21:27:50,160.25
2021-12-27 21:28:00,160.25
2021-12-27 21:28:10,160.24
2021-12-27 21:28:20,160.23
2021-12-27 21:28:30,160.25
2021-12-27 21:28:40,160.27
2021-12-27 21:28:50,160.28
2021-12-27 21:29:00,160.28
2021-12-27 21:29:10,160.28
2021-12-27 21:29:20,160.3
2021-12-27 21:29:30,160.32
2021-12-27 21:29:40,160.33
2021-12-27 21:29:50,160.33
2021-12-27 21:30:00,160.32
2021-12-27 21:30:10,160.34
2021-12-27 21:30:20,160.35
2021-12-27 21:30:30,160.37
2021-12-27 21:30:40,160.37
2021-12-27 21:30:50,160.37
2021-12-27 21:31:00,160.39
2021-12-27 21:31:10,160.39
2021-12-27 21:31:20,160.39
2021-12-27 21:31:30,160.42
2021-12-27 21:31:40,160.42
2021-12-27 21:31:50,160.43
2021-12-27 21:32:00,160.43
2021-12-27 21:32:10,160.43
2021-12-27 21:32:20,160.44
2021-12-27 21:32:30,160.45
2021-12-27 21:32:40,160.46
2021-12-27 21:32:50,160.49
2021-12-27 21:33:00,160.5
2021-12-27 21:33:10,160.48
2021-12-27 21:33:20,160.51
2021-12-27 21:33:30,160.54
2021-12-27 21:33:40,160.53
2021-12-27 21:33:50,160.57
2021-12-27 21:34:00,160.55
2021-12-27 21:34:10,160.55
2021-12-27 21:34:20,160.58
2021-12-27 21:34:30,160.6
2021-12-27 21:34:40,160.61
2021-12-27 21:34:50,160.61
2021-12-27 21:35:00,160.6
2021-12-27 21:35:10,160.6
2021-12-27 21:35:20,160.62
2021-12-27 21:35:30,160.64
2021-12-27 21:35:40,160.65
2021-12-27 21:35:50,160.66
2021-12-27 21:36:00,160.65
2021-12-27 21:36:10,160.69
2021-12-27 21:36:20,160.68
2021-12-27 21:36:30,160.67
2021-12-27 21:36:40,160.66
2021-12-27 21:36:50,160.69
2021-12-27 21:37:00,160.71
2021-12-27 21:37:10,160.73
2021-12-27 21:37:20,160.72
2021-12-27 21:37:30,160.73
2021-12-27 21:37:40,160.76
2021-12-27 21:37:50,160.77
2021-12-27 21:38:00,160.76
2021-12-27 21:38:10,160.77
2021-12-27 21:38:20,160.78
2021-12-27 21:38:30,160.79
2021-12-27 21:38:40,160.8
2021-12-27 21:38:50,160.8
2021-12-27 21:39:00,160.8
2021-12-27 21:39:10,160.82
2021-12-27 21:39:20,160.83
2021-12-27 21:39:30,160.84
2021-12-27 21:39:40,160.86
2021-12-27 21:39:50,160.84
2021-12-27 21:40:00,160.86
2021-12-27 21:40:10,160.86
2021-12-27 21:40:20,160.89
2021-12-27 21:40:30,160.92
2021-12-27 21:40:40,160.93
2021-12-27 21:40:50,160.92
2021-12-27 21:41:00,160.92
2021-12-27 21:41:10,160.94
2021-12-27 21:41:20,160.95
2021-12-27 21:41:30,160.93
2021-12-27 21:41:40,160.95
2021-12-27 21:41:50,160.97
2021-12-27 21:42:00,160.96
2021-12-27 21:42:10,160.97
2021-12-27 21:42:20,161.0
2021-12-27 21:42:30,161.01
2021-12-27 21:42:40,161.02
2021-12-27 21:42:50,161.03
2021-12-27 21:43:00,161.03
2021-12-27 21:43:10,161.05
2021-12-27 21:43:20,161.05
2021-12-27 21:43:30,161.06
2021-12-27 21:43:40,161.05
2021-12-27 21:43:50,161.08
2021-12-27 21:44:00,161.08
2021-12-27 21:44:10,161.11
2021-12-27 21:44:20,161.11
2021-12-27 21:44:30,161.1
2021-12-27 21:44:40,161.13
2021-12-27 21:44:50,161.14
2021-12-27 21:45:00,161.16
2021-12-27 21:45:10,161.16
2021-12-27 21:45:20,161.17
2021-12-27 21:45:30,161.15
2021-12-27 21:45:40,161.19
2021-12-27 21:45:50,161.17
2021-12-27 21:46:00,161.19
2021-12-27 21:46:10,161.2
2021-12-27 21:46:20,161.23
2021-12-27 21:46:30,161.21
2021-12-27 21:46:40,161.22
2021-12-27 21:46:50,161.21
2021-12-27 21:47:00,161.24
2021-12-27 21:47:10,161.25
2021-12-27 21:47:20,161.25
2021-12-27 21:47:30,161.28
2021-12-27 21:47:40,161.27
2021-12-27 21:47:50,161.29
2021-12-27 21:48:00,161.29
2021-12-27 21:48:10,161.29
2021-12-27 21:48:20,161.3
2021-12-27 21:48:30,161.3
2021-12-27 21:48:40,161.31
2021-12-27 21:48:50,161.33
2021-12-27 21:49:00,161.35
2021-12-27 21:49:10,161.34
2021-12-27 21:49:20,161.38
2021-12-27 21:49:30,161.38
2021-12-27 21:49:40,161.39
2021-12-27 21:49:50,161.41
2021-12-27 21:50:00,161.4
2021-12-27 21:50:10,161.43
2021-12-27 21:50:20,161.42
2021-12-27 21:50:30,161.45
2021-12-27 21:50:40,161.42
2021-12-27 21:50:50,161.45
2021-12-27 21:51:00,161.45
2021-12-27 21:51:10,161.46
2021-12-27 21:51:20,161.48
2021-12-27 21:51:30,161.47
2021-12-27 21:51:40,161.49
2021-12-27 21:51:50,161.48
2021-12-27 21:52:00,161.51
2021-12-27 21:52:10,161.51
2021-12-27 21:52:20,161.52
2021-12-27 21:52:30,161.51
2021-12-27 21:52:40,161.52
2021-12-27 21:52:50,161.53
2021-12-27 21:53:00,161.54
2021-12-27 21:53:10,161.54
2021-12-27 21:53:20,161.55
2021-12-27 21:53:30,161.56
2021-12-27 21:53:40,161.57
2021-12-27 21:53:50,161.59
2021-12-27 21:54:00,161.62
2021-12-27 21:54:10,161.61
2021-12-27 21:54:20,161.61
2021-12-27 21:54:30,161.63
2021-12-27 21:54:40,161.62
2021-12-27 21:54:50,161.65
2021-12-27 21:55:00,161.67
2021-12-27 21:55:10,161.68
2021-12-27 21:55:20,161.69
2021-12-27 21:55:30,161.68
2021-12-27 21:55:40,161.68
2021-12-27 21:55:50,161.7
2021-12-27 21:56:00,161.7
2021-12-27 21:56:10,161.71
2021-12-27 21:56:20,161.72
2021-12-27 21:56:30,161.73
2021-12-27 21:56:40,161.75
2021-12-27 21:56:50,161.76
2021-12-27 21:57:00,161.75
2021-12-27 21:57:10,161.76
2021-12-27 21:57:20,161.77
2021-12-27 21:57:30,161.8
2021-12-27 21:57:40,161.8
2021-12-27 21:57:50,161.82
2021-12-27 21:58:00,161.83
2021-12-27 21:58:10,161.85
2021-12-27 21:58:20,161.9
2021-12-27 21:58:30,161.88
2021-12-27 21:58:40,161.91
2021-12-27 21:58:50,161.91
2021-12-27 21:59:00,161.9
2021-12-27 21:59:10,161.91
2021-12-27 21:59:20,161.91
2021-12-27 21:59:30,161.92
2021-12-27 21:59:40,161.93
2021-12-27 21:59:50,161.93
2021-12-27 22:00:00,161.93
2021-12-27 22:00:10,161.95
2021-12-27 22:00:20,161.94
2021-12-27 22:00:30,161.95
2021-12-27 22:00:40,161.97
2021-12-27 22:00:50,161.98
2021-12-27 22:01:00,162.01
2021-12-27 22:01:10,162.02
2021-12-27 22:01:20,162.02
2021-12-27 22:01:30,162.02
2021-12-27 22:01:40,162.04
2021-12-27 22:01:50,162.05
2021-12-27 22:02:00,162.04
2021-12-27 22:02:10,162.07
2021-12-27 22:02:20,162.07
2021-12-27 22:02:30,162.07
2021-12-27 22:02:40,162.07
2021-12-27 22:02:50,162.09
2021-12-27 22:03:00,162.1
2021-12-27 22:03:10,162.1
2021-12-27 22:03:20,162.11
2021-12-27 22:03:30,162.12
2021-12-27 22:03:40,162.15
2021-12-27 22:03:50,162.16
2021-12-27 22:04:00,162.14
2021-12-27 22:04:10,162.16
2021-12-27 22:04:20,162.16
2021-12-27 22:04:30,162.19
2021-12-27 22:04:40,162.2
2021-12-27 22:04:50,162.2
2021-12-27 22:05:00,162.21
2021-12-27 22:05:10,162.2
2021-12-27 22:05:20,162.23
2021-12-27 22:05:30,162.25
2021-12-27 22:05:40,162.27
2021-12-27 22:05:50,162.26
2021-12-27 22:06:00,162.27
2021-12-27 22:06:10,162.27
2021-12-27 22:06:20,162.28
2021-12-27 22:06:30,162.27
2021-12-27 22:06:40,162.28
2021-12-27 22:06:50,162.3
2021-12-27 22:07:00,162.31
2021-12-27 22:07:10,162.3
2021-12-27 22:07:20,162.32
2021-12-27 22:07:30,162.34
2021-12-27 22:07:40,162.35
2021-12-27 22:07:50,162.33
2021-12-27 22:08:00,162.34
2021-12-27 22:08:10,162.35
2021-12-27 22:08:20,162.37
2021-12-27 22:08:30,162.38
2021-12-27 22:08:40,162.38
2021-12-27 22:08:50,162.37
2021-12-27 22:09:00,162.4
2021-12-27 22:09:10,162.38
2021-12-27 22:09:20,162.41
2021-12-27 22:09:30,162.41
2021-12-27 22:09:40,162.43
2021-12-27 22:09:50,162.43
2021-12-27 22:10:00,162.43
2021-12-27 22:10:10,162.45
2021-12-27 22:10:20,162.45
2021-12-27 22:10:30,162.46
2021-12-27 22:10:40,162.46
2021-12-27 22:10:50,162.49
2021-12-27 22:11:00,162.49
2021-12-27 22:11:10,162.48
2021-12-27 22:11:20,162.47
2021-12-27 22:11:30,162.49
2021-12-27 22:11:40,162.49
2021-12-27 22:11:50,162.49
2021-12-27 22:12:00,162.51
2021-12-27 22:12:10,162.52
2021-12-27 22:12:20,162.52
2021-12-27 22:12:30,162.54
2021-12-27 22:12:40,162.54
2021-12-27 22:12:50,162.57
2021-12-27 22:13:00,162.57
2021-12-27 22:13:10,162.56
2021-12-27 22:13:20,162.58
2021-12-27 22:13:30,162.58
2021-12-27 22:13:40,162.6
2021-12-27 22:13:50,162.6
2021-12-27 22:14:00,162.6
2021-12-27 22:14:10,162.61
2021-12-27 22:14:20,162.62
2021-12-27 22:14:30,162.64
2021-12-27 22:14:40,162.63
2021-12-27 22:14:50,162.63
2021-12-27 22:15:00,162.65
2021-12-27 22:15:10,162.63
2021-12-27 22:15:20,162.66
2021-12-27 22:15:30,162.66
2021-12-27 22:15:40,162.69
2021-12-27 22:15:50,162.67
2021-12-27 22:16:00,162.68
2021-12-27 22:16:10,162.67
2021-12-27 22:16:20,162.68
2021-12-27 22:16:30,162.7
2021-12-27 22:16:40,162.68
2021-12-27 22:16:50,162.7
2021-12-27 22:17:00,162.71
2021-12-27 22:17:10,162.79
2021-12-27 22:17:20,162.81
2021-12-27 22:17:30,162.8
2021-12-27 22:17:40,162.81
2021-12-27 22:17:50,162.8
2021-12-27 22:18:00,162.82
2021-12-27 22:18:10,162.81
2021-12-27 22:18:20,162.8
2021-12-27 22:18:30,162.81
2021-12-27 22:18:40,162.82
2021-12-27 22:18:50,162.83
2021-12-27 22:19:00,162.83
2021-12-27 22:19:10,162.85
2021-12-27 22:19:20,162.85
2021-12-27 22:19:30,162.85
2021-12-27 22:19:40,162.86
2021-12-27 22:19:50,162.86
2021-12-27 22:20:00,162.86
2021-12-27 22:20:10,162.87
2021-12-27 22:20:20,162.9
2021-12-27 22:20:30,162.89
2021-12-27 22:20:40,162.9
2021-12-27 22:20:50,162.91
2021-12-27 22:21:00,162.9
2021-12-27 22:21:10,162.93
2021-12-27 22:21:20,162.92
2021-12-27 22:21:30,162.91
2021-12-27 22:21:40,162.92
2021-12-27 22:21:50,162.95
2021-12-27 22:22:00,162.95
2021-12-27 22:22:10,162.95
2021-12-27 22:22:20,162.94
2021-12-27 22:22:30,162.96
2021-12-27 22:22:40,162.98
2021-12-27 22:22:50,162.96
2021-12-27 22:23:00,162.97
2021-12-27 22:23:10,162.97
2021-12-27 22:23:20,162.98
2021-12-27 22:23:30,162.99
2021-12-27 22:23:40,162.98
2021-12-27 22:23:50,163.0
2021-12-27 22:24:00,163.01
2021-12-27 22:24:10,163.04
2021-12-27 22:24:20,163.04
2021-12-27 22:24:30,163.02
